Date,User,Tweet
2022-12-27 13:39:32+00:00,BeritaNusantar,"Ganjar menginginkan konflik keraton Surakarta bisa diselesaikan dengan duduk bersama mencari solusi terbaik

Christmas | Hot &amp; Cold | Liverpool | Gakpo | Effort | CutiePie 2 is Coming | Dingin | Run BTS | Fajar | #ตัวอย่างนิ่งเฮีย2you | #bbrightvc | #BETHESUNinJKT https://t.co/UsPzY2ay1A"
2022-12-27 13:39:19+00:00,FajardoCatelyn,"Ganjar Pranowo calon terbaik untuk menjadi next Presiden di 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/RfaS9Uepi0"
2022-12-27 13:39:15+00:00,Bearbreand13,@GanjaranApp makin kumpul banyak ini masyarakat yg mendukung pak ganjar menjadi pemimpin negara
2022-12-27 13:38:57+00:00,whatswithrachel,@GanjaranApp Kita harus mengapresiasi bagaimana mana pak Ganjar menekan kemiskinan di Jateng
2022-12-27 13:38:41+00:00,FajardoCatelyn,Program Kerja Ganjar Terbukti Berhasil !!! #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/caABnghqlD
2022-12-27 13:38:17+00:00,JQENNLES,@GanjaranApp Sangat bangga dan kagum akan kinerja pak Ganjar dalam membuat penurunan tingkat kemiskinan di Jawa tengah
2022-12-27 13:37:55+00:00,Reyhansulit,"@GanjaranApp Bener nih setuju apa kata pak Ganjar, kita harus bisa mengamalkan nilai-nilai yang terkandung dalam Pancasila"
2022-12-27 13:37:52+00:00,runchrandar,@GanjaranApp Satu lagi rekor yang telah di ray pak Ganjar yaitu menurunkan tingkat kemiskinan
2022-12-27 13:37:46+00:00,FajardoCatelyn,"Ganjar terus peroleh banyak dukungan jadi Presiden 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/lvvfjV7dHj"
2022-12-27 13:37:36+00:00,makganjarjatim,"Pak ganjar ngurus semua bisa 😍😍😍
#makganjar #makganjarjatim #makganjaruntukpakganjar #pakganjarpresiden2024 https://t.co/hxoeyhjgut"
2022-12-27 13:37:31+00:00,runchrandar,@GanjaranApp Dukungan yang diberikan para petani untuk pak Ganjar membuat saya ikut bersemangat
2022-12-27 13:37:17+00:00,Syapran_s,"di sebar oleh akun buzzer @ganjarpranowo , Ganjar lbh baik lu buka apa prestasi kerja lu sbg Gub Jateng, gimana nasib uang bang Jateng yg Raib 500 an Milyar ? https://t.co/wINP8FJOFc"
2022-12-27 13:36:46+00:00,4_gp2024,"Gubernur Jawa Tengah (Jateng) Ganjar Pranowo mendorong penyelenggaraan Halaqah Kebangsaan di sekolah-sekolah untuk menguatkan fondasi bangsa. 

Hal itu dikatakan Ganjar usai mengisi Halaqah Kebangsaan bersama Menko Polhukam Mahfud MD.

#sahabatganjar #ganjarpranowo #ganjar https://t.co/LLhIVv2FLg"
